id,name,items,prices,image_url,category
74,四塊麥克鷄塊,[74],46,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1302.png?,
75,四人分享餐,"[11,11,11,11,13,30,30,30,30,76,76,76,76]",409,http://www.mcdonalds.com.tw/content/dam/taiwan/site/food/meal_bundle/happy_sharing/hps_03.png,
76,33元飲料,[76],33,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3183.png?,
77,28元飲料,[77],28,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3183.png?,
78,經典配餐,"[76,82]",40,,
79,清爽配餐,"[29,76]",40,,
80,酷炫配餐,"[76,22]",65,,
81,勁脆配餐,"[11,76]",65,,
82,中薯,[82],38,http://www.mcdonalds.com.tw/content/dam/taiwan/ch/product/hero/French%20Fries%20M_hero.png,
83,中杯可口可樂,[76],33,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3183.png?,
84,中杯可口可樂zero,[76],33,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3183.png?,
85,中杯雪碧,[76],33,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3193.png?,
86,二人分享餐,"[14,11,11,76,76,82]",199,http://www.mcdonalds.com.tw/content/dam/taiwan/site/assets_page_temp/hps_01.png,
87,中杯冰紅茶,[76],33,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3183.png?,
88,中杯冰綠茶,[76],33,http://www.mcdonalds.com.tw/content/dam/taiwan/ch/product/hero/Sokenbicha_L_hero.png,
89,大杯可口可樂,[103],40,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3183.png?,
90,大杯可口可樂zero,[103],40,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3183.png?,
91,大杯雪碧,[103],40,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3193.png?,
92,大杯冰紅茶,[103],40,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3183.png?,
93,大杯冰綠茶,[103],40,http://www.mcdonalds.com.tw/content/dam/taiwan/ch/product/hero/Sokenbicha_L_hero.png,
94,大份四季沙拉,[94],40,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/1607.png?,
95,小杯冰紅茶,[95],28,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3183.png?,
96,小杯冰綠茶,[96],28,http://www.mcdonalds.com.tw/content/dam/taiwan/ch/product/hero/Sokenbicha_L_hero.png,
97,蛋捲冰淇淋,[97],18,http://www.mcdonalds.com.tw/content/dam/taiwan/ch/product/hero/Ice-cream-Corn_hero.png,
98,大杯柳橙汁,[98],45,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/33432.png?,
99,大杯焦糖熱奶茶,[99],45,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/34842.png?,
100,三人分享餐,"[14,11,11,76,76,76,82,82,30,30,30,30]",309,http://www.mcdonalds.com.tw/content/dam/taiwan/site/food/meal_bundle/happy_sharing/hps_02.png,
101,快樂分享A組,"[13,13]",179,http://www.mcdonalds.com.tw/content/dam/taiwan/site/assets_page_temp/hps_a.png,
102,快樂分享B組,"[30,30,30,30,30,30,30,30,30,30]",179,http://www.mcdonalds.com.tw/content/dam/taiwan/site/assets_page_temp/hps_b.png,
103,大杯飲料,[103],40,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/3183.png?,
104,聖代,[104],30,https://drjaosdejw578.cloudfront.net/tw/static/1471535072755/assets/886/products/4329.png?,
105,快樂分享A組,"[14,14,14]",179,http://www.mcdonalds.com.tw/content/dam/taiwan/site/assets_page_temp/hps_a.png,
